,Bitcoin Price,Cardano Price,BTC price percent diff,Cardano price percent diff,Cardano dropped more
2013-07-07,68.0831,,-28.625538062200295,,False
2013-12-08,743.11,,-28.090072479896268,,False
2013-12-22,650.27,,-23.91121200065527,,False
2015-01-18,208.9892,,-21.780795257201035,,False
2017-07-16,1927.09906562122,,-23.50405837026924,,False
2017-11-12,5866.51312938529,0.024521650906143423,-20.896694022388175,11.328880929292007,False
2017-12-24,14451.1145466743,0.406643144559958,-25.600149752750678,-14.497027501985926,False
2018-02-04,8994.91486607664,0.448042724772298,-22.89432067380708,-28.947111153338078,True
2018-03-11,8890.86580399612,0.20501892019922235,-21.7080553607098,-29.24036456426785,True
2018-11-25,3895.8368129589876,0.038722242343312674,-30.421441267373172,-36.60886651438897,True
2020-03-15,5214.189112383918,0.026047698238738294,-41.42809676070397,-47.10049364494184,True
