,price_BTC,price_ETH,BTC 1W change percent,ETH 1W change percent
2015-08-16,257.8158000000001,1.476607254205028,0.0,0.0
2015-08-23,227.2453999999999,1.355182100454404,-13.45,-8.96
2015-08-30,228.0672,1.322350879918967,0.36,-2.48
2015-09-06,239.1288999999999,1.29888313413515,4.63,-1.81
2015-09-13,230.5048000000001,0.9386521502557871,-3.74,-38.38
2015-09-20,230.6597,0.9363277614869444,0.07,-0.25
2015-09-27,232.8346999999999,0.7213584231130563,0.93,-29.8
2015-10-04,238.6566,0.6675468579375702,2.44,-8.06
2015-10-11,247.5392,0.6370439806918999,3.59,-4.79
2015-10-18,262.2345,0.5184445473595721,5.6,-22.88
2015-10-25,284.749,0.6319388092249569,7.91,17.96
2015-11-01,324.9970999999999,1.058541941291151,12.38,40.3
2015-11-08,371.5020000000001,1.030499514179018,12.52,-2.72
2015-11-15,320.484,0.9108255481961639,-15.92,-13.14
2015-11-22,323.395,0.96473853235469,0.9,5.59
2015-11-29,371.4880000000001,0.8717449537893333,12.95,-10.67
2015-12-06,394.0109999999999,0.8349924869606098,5.72,-4.4
2015-12-13,435.8150000000001,0.9583031735578238,9.59,12.87
2015-12-20,441.1289999999999,0.9032316429089903,1.2,-6.1
2015-12-27,423.925,0.8588870868776094,-4.06,-5.16
2016-01-03,430.198,0.9721969755035614,1.46,11.66
2016-01-10,447.2069999999999,1.01996585607406,3.8,4.68
2016-01-17,386.3560000000001,1.321855711753408,-15.75,22.84
2016-01-24,403.0559999999999,2.131691495370684,4.14,37.99
2016-01-31,364.352,2.298766557449123,-10.62,7.27
2016-02-07,375.5170000000002,2.950776113177157,2.97,22.1
2016-02-14,404.1440000000001,5.169512436402438,7.08,42.92
2016-02-21,438.6499999999999,4.653970273276003,7.87,-11.08
2016-02-28,432.7970000000001,6.440650848847282,-1.35,27.74
2016-03-06,404.912,10.96466178163567,-6.89,41.26
2016-03-13,412.4949999999999,14.89359978457807,1.84,26.38
2016-03-20,411.8820000000001,10.21749097388716,-0.15,-45.77
2016-03-27,425.349,10.37751681820161,3.17,1.54
2016-04-03,418.1850000000001,11.51238012010477,-1.71,9.86
2016-04-10,421.133,8.814617175830122,0.7,-30.61
2016-04-17,428.027,9.323170276346234,1.61,5.45
2016-04-24,459.9229999999999,7.995361207240304,6.94,-16.61
2016-05-01,452.592,8.832454372832895,-1.62,9.48
2016-05-08,459.283,9.52920206226682,1.46,7.31
2016-05-15,457.837,9.960446892869543,-0.32,4.33
2016-05-22,438.6750000000001,14.248986066415835,-4.37,30.1
2016-05-29,524.624,12.38905213533701,16.38,-15.01
2016-06-05,574.4756747207706,13.970529067786634,8.68,11.32
2016-06-12,671.7122784950529,15.697007269686255,14.48,11.0
2016-06-19,764.0459999999999,12.23058702890821,12.08,-28.34
2016-06-26,629.3059999999999,13.845029961871877,-21.41,11.66
