,Bitcoin Price,Ethereum Price,BTC price percent diff,Ethereum price percent diff,Ethereum dropped more
2013-07-07,68.0831,,-28.625538062200295,,False
2013-12-08,743.11,,-28.090072479896268,,False
2013-12-22,650.27,,-23.91121200065527,,False
2015-01-18,208.9892,,-21.780795257201035,,False
2017-07-16,1927.09906562122,156.46899162898947,-23.50405837026924,-34.46443498151517,True
2017-11-12,5866.51312938529,314.1661277072687,-20.896694022388175,5.595910997126641,False
2017-12-24,14451.1145466743,686.208308919806,-25.600149752750678,-5.831224758386966,False
2018-02-04,8994.91486607664,941.8032295185238,-22.89432067380708,-23.88387393514111,True
2018-03-11,8890.86580399612,684.934340074043,-21.7080553607098,-18.871178210587182,False
2018-11-25,3895.8368129589876,114.28793125942474,-30.421441267373172,-34.94073424080641,True
2020-03-15,5214.189112383918,123.030844108903,-41.42809676070397,-48.17152474542935,True
