,price_BTC,24% change_BTC,price_chainlink,24% change_chainlink,price_ETH,24% change ETH_ETH,price_ADA,24% change ETH_ADA
2018-12-20,3687.750553192723,0.0,0.28944634342405773,0.0,99.49155365807758,0.0,0.03489706297044245,0.0
2018-12-21,4065.097238010126,9.28,0.33274892024766234,13.01,114.42918370038834,13.05,0.038880258550837106,10.24
2018-12-22,3846.2274979885774,-5.69,0.2910450070633232,-14.33,107.85318110517642,-6.1,0.040443056235332085,3.86
2018-12-23,3960.567773408038,2.89,0.301470256197297,3.46,115.04582181530175,6.25,0.041620704573098605,2.83
2018-12-24,3941.617740158326,-0.48,0.30555860140463786,1.34,129.20650341412852,10.96,0.043796083218113305,4.97
2018-12-25,4021.990255345401,2.0,0.308119676447399,0.83,138.95781833191495,7.02,0.04530232759282666,3.32
2018-12-26,3759.1784268965694,-6.99,0.3152939517243719,2.28,127.63707252348217,-8.87,0.04075683695477003,-11.15
2018-12-27,3781.613081593353,0.59,0.30105777804489164,-4.73,129.51137399263007,1.45,0.0404774869069017,-0.69
2018-12-28,3587.703880138819,-5.4,0.27452617702647997,-9.66,114.1013635506553,-13.51,0.03724446267429322,-8.68
2018-12-29,3854.4210969825917,6.92,0.2941274581073028,6.66,134.01993952035144,14.86,0.0408637637558495,8.86
2018-12-30,3778.193939889601,-2.02,0.29757073793532957,1.16,138.75426661197633,3.41,0.040636750273385924,-0.56
2018-12-31,3809.7282286410905,0.83,0.3032791650161079,1.88,137.6316929791457,-0.82,0.04273842127976908,4.92
2019-01-01,3692.5315655246986,-3.17,0.2954913178380225,-2.64,131.45872465603802,-4.7,0.04053717973025967,-5.43
2019-01-02,3794.2642537397164,2.68,0.3063313882301748,3.54,138.14480220535194,4.84,0.041910239396512214,3.28
2019-01-03,3872.1721842228935,2.01,0.33128448872251953,7.53,152.86045271321305,9.63,0.044714509043112735,6.27
2019-01-04,3776.525807694106,-2.53,0.3579575103890106,7.45,146.7305994341217,-4.18,0.042006788207089134,-6.45
2019-01-05,3815.268079882635,1.02,0.42705575964309217,16.18,153.0565669307744,4.13,0.04325351367613107,2.88
2019-01-06,3787.3078571242845,-0.74,0.39350642259407076,-8.53,153.65187149457,0.39,0.0442038245126525,2.15
2019-01-07,4013.5200912973864,5.64,0.3952716206872071,0.45,154.69930839905126,0.68,0.048449481006463485,8.76
2019-01-08,3989.6687175387638,-0.6,0.37223189374469684,-6.19,149.89869762072908,-3.2,0.04738809952272824,-2.24
2019-01-09,3973.5912546157865,-0.4,0.413585880193765,10.0,148.14786553107623,-1.18,0.04783211259907341,0.93
2019-01-10,3982.2259127624075,0.22,0.39378953563857466,-5.03,148.7388798515161,0.4,0.051379342496223404,6.9
2019-01-11,3623.8477291056797,-9.89,0.35246346326642763,-11.72,126.62475249770274,-17.46,0.043960678498555436,-16.88
2019-01-12,3632.849306434781,0.25,0.4317377349034877,18.36,124.6267970725248,-1.6,0.04333920017054309,-1.43
2019-01-13,3598.4363465618803,-0.96,0.40177752846717024,-7.46,123.75936261029351,-0.7,0.043068001139726815,-0.63
2019-01-14,3495.832311307438,-2.94,0.44288532560177163,9.28,114.76604584662175,-7.84,0.03957068318789578,-8.84
2019-01-15,3648.04828565649,4.17,0.47754577316869523,7.26,127.40527329081972,9.92,0.0434219696959126,8.87
2019-01-16,3567.801243199206,-2.25,0.5052177589075403,5.48,119.81437324652917,-6.34,0.042207064638792174,-2.88
2019-01-17,3597.6473233295915,0.83,0.49123008251247313,-2.85,122.24553850486993,1.99,0.04412438875413042,4.35
2019-01-18,3620.9812811457246,0.64,0.4766020502870565,-3.07,121.92726666997898,-0.26,0.044726995298034124,1.35
2019-01-19,3597.7932517701506,-0.64,0.4911130713026662,2.95,119.1707391686563,-2.31,0.043734276708546016,-2.27
2019-01-20,3674.587270857304,2.09,0.47956116104535323,-2.41,122.92817578942176,3.06,0.045107177036213794,3.04
2019-01-21,3539.167531041029,-3.83,0.4780090249370043,-0.32,117.6078729013454,-4.52,0.04291945917606513,-5.1
2019-01-22,3531.004182799933,-0.23,0.4930487961049628,3.05,115.82686433322588,-1.54,0.04253299294949234,-0.91
2019-01-23,3571.2669080928695,1.13,0.5317206287299757,7.27,117.81718880676009,1.69,0.043256168194204705,1.67
2019-01-24,3555.7000025226243,-0.44,0.5015124072478779,-6.02,116.41601969858114,-1.2,0.04262165617995168,-1.49
2019-01-25,3565.6420046170365,0.28,0.4929475363447304,-1.74,116.24543567436463,-0.15,0.04270620306303482,0.2
2019-01-26,3564.822417111422,-0.02,0.4684216454768547,-5.24,115.14990605895021,-0.95,0.04237534999054085,-0.78
2019-01-27,3563.614563419144,-0.03,0.46598022590195226,-0.52,115.33716687142687,0.16,0.04240053908890404,0.06
2019-01-28,3553.121681129778,-0.3,0.4320748421539529,-7.85,112.51348924314217,-2.51,0.04091752179586894,-3.62
2019-01-29,3432.215668301249,-3.52,0.4087654292330289,-5.7,105.35239189764611,-6.8,0.038450036346304554,-6.42
2019-01-30,3413.3754832497975,-0.55,0.45350534136512816,9.87,104.59784628074063,-0.72,0.037970569740954696,-1.26
2019-01-31,3457.8826491759864,1.29,0.42225059288197914,-7.4,108.27309466982854,3.39,0.03941612181087784,3.67
2019-02-01,3431.943637864456,-0.76,0.38535030166835516,-9.58,106.33599581366398,-1.82,0.0381578928586053,-3.3
2019-02-02,3464.490147562154,0.94,0.4161054702597925,7.39,107.00955827242754,0.63,0.03865298497888374,1.28
2019-02-03,3486.581616258029,0.63,0.4112034510948895,-1.19,108.77817692653159,1.63,0.039022422639798875,0.95
2019-02-04,3454.025843825187,-0.94,0.39665511900041894,-3.67,107.19999697185268,-1.47,0.038074529529785385,-2.49
2019-02-05,3464.003508861087,0.29,0.3996599013662211,0.75,107.61824539435413,0.39,0.03795520809563006,-0.31
2019-02-06,3469.8946770792636,0.17,0.42229685002151446,5.36,107.31703853339418,-0.28,0.03796273403077448,0.02
2019-02-07,3405.836861256719,-1.88,0.397800999974327,-6.16,104.62362623241391,-2.57,0.03672597403660614,-3.37
2019-02-08,3394.0146529587223,-0.35,0.40192316877653506,1.03,104.26536439234141,-0.34,0.03641189129105194,-0.86
2019-02-09,3664.2821026589836,7.38,0.4349767629723635,7.6,119.33360463375858,12.63,0.04073183881352222,10.61
2019-02-10,3667.4082642899566,0.09,0.4625530761153885,5.96,119.48955517293045,0.13,0.04117567943100289,1.08
2019-02-11,3675.6916291247258,0.23,0.4508368469926506,-2.6,124.88963479029995,4.32,0.04270330084709114,3.58
2019-02-12,3631.444539729949,-1.22,0.42930570546611085,-5.02,120.97026174727318,-3.24,0.04164329464144184,-2.55
2019-02-13,3633.9650467461183,0.07,0.4285050355678923,-0.19,122.54208894762355,1.28,0.04172181557351035,0.19
2019-02-14,3610.0622730634022,-0.66,0.44701451378077833,4.14,122.09412965721424,-0.37,0.041045902974213205,-1.65
2019-02-15,3589.661829626318,-0.57,0.42935996688183903,-4.11,120.59217399552682,-1.25,0.04037234090922349,-1.67
2019-02-16,3601.2291913968643,0.32,0.43732956581371596,1.82,121.57227847601175,0.81,0.04043927844402389,0.17
2019-02-17,3622.5916530750715,0.59,0.4392184795959137,0.43,122.93860835926709,1.11,0.0410041782714106,1.38
2019-02-18,3665.075530800723,1.16,0.4620814406784455,4.95,133.88146961685993,8.17,0.04153294922863323,1.27
2019-02-19,3886.5202004751386,5.7,0.4717335924206987,2.05,145.32602670603126,7.88,0.045359194699420416,8.44
2019-02-20,3915.0099712770552,0.73,0.45652111348426383,-3.33,143.65523417640586,-1.16,0.04590089299360815,1.18
2019-02-21,3976.808906528991,1.55,0.46306667355308345,1.41,148.8684346762975,3.5,0.047322543862064186,3.0
