,Bitcoin Price,Chainlink Price,BTC price percent diff,Chainlink price percent diff,Chainlink dropped more
2013-05-05,116.79,,-13.680709534368074,,False
2013-06-09,108.401,,-10.633965375103049,,False
2013-06-30,95.3886,,-11.059580419580428,,False
2013-07-07,68.0831,,-28.625538062200295,,False
2013-09-08,121.77,,-11.869436201780415,,False
2013-12-08,743.11,,-28.090072479896268,,False
2013-12-22,650.27,,-23.91121200065527,,False
2014-02-09,672.07,,-19.648258629141203,,False
2014-03-30,469.938,,-17.232232963882076,,False
2014-04-27,437.9216,,-11.943290978784782,,False
2014-06-15,583.41,,-10.230569921478484,,False
2014-08-17,494.7813,,-15.92508168343738,,False
2014-09-21,396.62,,-16.46500068450595,,False
2014-10-05,325.1099999999999,,-13.531998825496938,,False
2015-01-04,260.936,,-17.553421740270657,,False
2015-01-18,208.9892,,-21.780795257201035,,False
2015-02-01,226.2697,,-10.860904297962183,,False
2015-07-19,272.806179588859,,-12.052353584884013,,False
2015-08-23,227.2453999999999,,-11.857457921508363,,False
2015-11-15,320.484,,-13.732900495825096,,False
2016-01-17,386.3560000000001,,-13.606897924227434,,False
2016-06-26,629.3059999999999,,-17.635063857411726,,False
2017-03-19,1023.4901008756748,,-16.827289943141754,,False
2017-06-18,2577.21936114026,,-14.483606202411792,,False
2017-07-16,1927.09906562122,,-23.50405837026924,,False
2017-09-10,4132.6646422833,,-10.78902865899235,,False
2017-09-17,3553.43231625865,,-14.015952809193433,,False
2017-11-12,5866.51312938529,0.1700132017426718,-20.896694022388175,,False
2017-12-24,14451.1145466743,0.571485769080935,-25.600149752750678,31.815710615214332,False
2018-01-14,14476.5889713691,1.0641862131056514,-15.042863318351474,-20.78801720735617,True
2018-01-21,11703.5048628599,0.9072286703188935,-19.1556458085094,-14.749067489673939,False
2018-02-04,8994.91486607664,0.5089050879648738,-22.89432067380708,-33.208836181936405,True
2018-02-25,9742.62819006538,0.6418983704474361,-11.484146053923073,-5.6417766587414375,False
2018-03-11,8890.86580399612,0.4722983362870366,-21.7080553607098,-24.150257760365523,True
2018-04-01,6975.27531402076,0.2813859966712322,-19.091134326465486,-33.02046569723414,True
2018-05-13,8480.58037612559,0.4649894553920855,-13.164365394226806,-18.172282111822224,True
2018-05-27,7328.87167436352,0.3639232249313624,-10.411858828404341,-18.780632842290757,True
2018-06-17,6478.81592433021,0.2198237328493726,-12.625560083676458,-25.32419099490881,True
2018-08-05,7009.012011793916,0.25808427890651753,-14.442188623906361,-7.753893440465354,False
2018-08-12,6205.218479944854,0.27020652751835555,-11.468000489891239,4.697011636353454,False
2018-09-09,6181.19445075213,0.24196644342657844,-14.28425516493419,-27.839373521441292,True
2018-11-18,5599.1915956893035,0.49231147913270823,-12.919444352823762,-4.450453875308891,False
2018-11-25,3895.8368129589876,0.2900826248538034,-30.421441267373172,-41.07742005836751,True
2018-12-09,3424.7058606626006,0.22235592173295726,-18.256462223873406,-29.63847463613336,True
2019-07-28,9447.678401413306,2.232822723205412,-12.312679790643354,-15.574653356062583,True
2019-09-29,8225.11037185192,1.6837697695437375,-17.72585859891066,-10.297669572968838,False
2019-11-24,7309.689243566324,2.4211047454731736,-13.96698523718558,-19.139448347388978,True
2020-03-01,8552.989118581636,4.078126682900133,-11.446961736627614,-0.4704167191980524,False
2020-03-15,5214.189112383918,2.1294755948791324,-41.42809676070397,-51.02053600001124,True
2020-09-06,10177.789718049991,10.59157225419135,-11.354737352973332,-36.145234251613836,True
2021-01-17,36254.713079410845,20.498271918629428,-10.030183800779602,15.908648518164604,False
2021-01-24,32068.08737440817,24.745835954201077,-11.547810889669607,20.72157132285546,False
2021-02-28,46653.52639939581,26.39261542619333,-17.248164704047397,-22.907139280533872,True
