"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 15, 2021","91.852","91.688","91.892","91.537","-","0.19%"
"Mar 12, 2021","91.678","91.430","91.970","91.405","8.35K","0.28%"
"Mar 11, 2021","91.418","91.855","91.895","91.370","40.32K","-0.45%"
"Mar 10, 2021","91.828","92.035","92.250","91.770","48.93K","-0.15%"
"Mar 09, 2021","91.964","92.445","92.530","91.920","41.05K","-0.40%"
"Mar 08, 2021","92.334","91.940","92.440","91.865","41.68K","0.37%"
"Mar 05, 2021","91.990","91.640","92.225","91.640","47.69K","0.38%"
"Mar 04, 2021","91.644","91.025","91.695","90.985","36.47K","0.77%"
"Mar 03, 2021","90.942","90.800","91.075","90.635","28.97K","0.17%"
"Mar 02, 2021","90.790","91.070","91.405","90.730","30.96K","-0.27%"
"Mar 01, 2021","91.036","90.900","91.150","90.685","36.78K","0.17%"
"Feb 26, 2021","90.882","90.335","90.980","90.135","49.29K","0.83%"
"Feb 25, 2021","90.135","90.075","90.295","89.675","44.24K","-0.04%"
"Feb 24, 2021","90.170","90.090","90.445","89.960","30.51K","0.00%"
"Feb 23, 2021","90.167","89.980","90.265","89.925","22.81K","0.19%"
"Feb 22, 2021","89.999","90.345","90.575","89.980","35.65K","-0.40%"
"Feb 19, 2021","90.363","90.540","90.660","90.165","27.10K","-0.26%"
"Feb 18, 2021","90.600","90.870","90.995","90.535","32.79K","-0.38%"
"Feb 17, 2021","90.949","90.705","91.050","90.610","33.42K","0.49%"
"Feb 16, 2021","90.503","90.310","90.630","90.095","30.62K","0.04%"
"Feb 15, 2021","90.470","90.420","90.460","90.250","13.83K","0.00%"
"Feb 12, 2021","90.470","90.410","90.735","90.355","22.47K","0.06%"
"Feb 11, 2021","90.413","90.450","90.480","90.250","18.99K","0.06%"
"Feb 10, 2021","90.363","90.455","90.515","90.235","24.63K","-0.07%"
"Feb 09, 2021","90.429","90.880","90.895","90.405","22.45K","-0.54%"
"Feb 08, 2021","90.919","91.000","91.225","90.880","29.23K","-0.12%"
"Feb 05, 2021","91.032","91.500","91.605","90.960","26.22K","-0.53%"
"Feb 04, 2021","91.520","91.110","91.585","91.085","19.39K","0.41%"
"Feb 03, 2021","91.148","91.035","91.305","90.980","21.00K","-0.04%"
"Feb 02, 2021","91.189","90.995","91.285","90.795","31.19K","0.24%"
"Feb 01, 2021","90.975","90.545","91.050","90.490","26.46K","0.45%"
"Jan 29, 2021","90.569","90.625","90.760","90.335","29.38K","0.16%"
"Jan 28, 2021","90.427","90.755","90.855","90.375","33.31K","-0.23%"
"Jan 27, 2021","90.640","90.165","90.880","90.130","47.30K","0.55%"
"Jan 26, 2021","90.148","90.385","90.595","90.090","26.46K","-0.25%"
"Jan 25, 2021","90.373","90.195","90.510","90.075","18.84K","0.18%"
"Jan 22, 2021","90.212","90.075","90.300","90.050","22.63K","0.09%"
"Jan 21, 2021","90.127","90.400","90.405","90.030","22.29K","-0.38%"
"Jan 20, 2021","90.469","90.388","90.690","90.248","-","-0.01%"
"Jan 19, 2021","90.476","90.700","90.745","90.380","29.11K","-0.31%"
"Jan 18, 2021","90.754","90.770","90.940","90.685","16.27K","0.00%"
"Jan 15, 2021","90.754","90.200","90.790","90.195","29.42K","0.60%"
"Jan 14, 2021","90.215","90.290","90.570","90.040","23.81K","-0.13%"
"Jan 13, 2021","90.334","89.980","90.435","89.890","26.61K","0.30%"
"Jan 12, 2021","90.064","90.485","90.600","89.995","23.64K","-0.42%"
"Jan 11, 2021","90.442","90.090","90.720","90.055","30.54K","0.42%"
"Jan 08, 2021","90.068","89.840","90.230","89.625","38.41K","0.31%"
"Jan 07, 2021","89.791","89.330","89.970","89.325","23.33K","0.32%"
"Jan 06, 2021","89.502","89.390","89.795","89.165","40.29K","0.10%"
"Jan 05, 2021","89.409","89.845","89.845","89.390","19.18K","-0.49%"
"Jan 04, 2021","89.845","89.870","89.925","89.390","28.26K","-0.05%"
"Dec 31, 2020","89.894","89.520","89.965","89.475","13.09K","0.27%"
"Dec 30, 2020","89.649","89.868","89.900","89.515","-","-0.30%"
"Dec 29, 2020","89.918","90.160","90.165","89.785","17.25K","-0.40%"
